trial,clip,transcript,translation,asr_time_s,mt_time_s,tts_time_s,total_e2e_s
1,3536-23268-0024,"Doraforth then laid the book out of his hand, and by the time the servant had left the room, thus began.","तब डोराफोर्थ ने पुस्तक को अपने हाथ से बाहर रखा, और उस समय से नौकर ने कमरे को छोड़ दिया था, इस प्रकार शुरू हुआ।",0.2671,0.2758,14.5828,15.1257
2,7976-110523-0010,"Hansel thought the roof tasted very nice, and so you tore off a great piece. While Gretel broke a large round pane out of the window and sat down quite contentedly.","हंसेल ने सोचा कि छत बहुत अच्छा है, और इसलिए आप एक महान टुकड़ा बंद कर देते हैं। जबकि ग्रेटेल ने खिड़की से एक बड़े गोल फलक को तोड़ दिया और काफी संतुष्ट हो गया।",0.1131,0.0825,12.8888,13.0844
3,5895-34629-0021,"Besides this, he haranged like Cicero, as we have just seen, sold his drugs, attended sickness, and even healed the sick.","इसके अलावा, उन्होंने Cicero की तरह काम किया, जैसा कि हमने अभी देखा है, अपनी दवाओं को बेच दिया, बीमारी में भाग लिया और बीमारों को भी ठीक कर दिया।",0.1775,0.1078,11.7610,12.0463
4,2428-83705-0032,But why on that account they should pity me I altogether fail to understand,लेकिन क्यों उस खाते पर उन्हें मुझे दया करनी चाहिए मैं पूरी तरह से समझने में विफल रहता हूं,0.0525,0.0543,9.1140,9.2207
5,8297-275156-0001,"You have been to the hotel, he burst out. You have seen Catherine?","आप होटल गए हैं, वह फट गया। आपने Catherine देखा है?",0.0634,0.0375,6.3074,6.4083
6,6313-66129-0003,"We did not. It must have come to life sometime during the night and dug its way out, laugh, tad.","हमने नहीं किया। यह रात के दौरान कुछ समय के लिए आना चाहिए और अपने रास्ते को खोना, हंसी करना, तड़के करना चाहिए।",0.0864,0.0801,10.1432,10.3097
7,1993-147149-0022,"So leaving kind messages to George and Jane Wilson and hesitating whether she might dare to send a few kind words to Jim and deciding that she had better not, she stepped out into the bright morning light so fresh a contrast to the darkened room where death had been.","तो जॉर्ज और जेन विल्सन के लिए तरह के संदेश छोड़ने और यह मानते हुए कि क्या वह जिम में कुछ प्रकार के शब्दों को भेजने की हिम्मत कर सकती है और यह तय करती है कि उसके पास बेहतर नहीं था, वह उज्ज्वल सुबह की रोशनी में बाहर चली गई ताकि अंधेरे कमरे के विपरीत ताजा हो जहां मौत हो गई थी।",0.2716,0.1942,23.9389,24.4047
8,174-168635-0009,Two meat was to find each other.,दो मांस एक दूसरे को खोजने के लिए थे।,0.0441,0.0410,5.8764,5.9615
9,422-122949-0031,There must be a sort of repugnance in me to believe anything definite about myself. Is there perhaps some enigma therein?,मुझे अपने बारे में कुछ निश्चित विश्वास करने के लिए एक प्रकार का प्रतिशोध होना चाहिए। वहाँ शायद कुछ पहेली है?,0.1050,0.0794,10.2130,10.3974
10,8297-275155-0018,and the captain of course concluded after having been introduced to Kitty that Mrs. Norman was a widow.,और निश्चित रूप से कप्तान ने किट्टी को पेश करने के बाद यह निष्कर्ष निकाला कि श्रीमती नॉर्मन एक विधवा था।,0.0971,0.0822,9.6895,9.8688
11,5694-64038-0008,A man on the well.,अच्छी तरह से एक आदमी।,0.0407,0.0248,5.3101,5.3755
12,5338-284437-0032,"We do not hate you as you say the blue skins do, nor are we savage or cruel, but we do not want you here and I'm really puzzled what to do with you.","हम आपको नफरत नहीं करते क्योंकि आप कहते हैं कि नीली खाल करते हैं, न ही हम savage या क्रूर हैं, लेकिन हम आपको यहां नहीं चाहते हैं और मैं वास्तव में आपको क्या करना चाहता हूं।",0.1244,0.1248,13.6176,13.8667
13,6345-93302-0017,"Following the tingle of relief came a sharp, sickening pinch of jealousy and mortification. These inspired her.","राहत की झुनझुनी के बाद ईर्ष्या और mortification का एक तेज, बीमार चुटकी आया। ये उसे प्रेरित करते हैं।",0.0759,0.0747,9.1883,9.3388
14,1272-128104-0009,"He laments most bitterly the divorce that has been made between decorative art and what we usually call pictures. Makes the customary appeal to the last judgment and reminds us that in the great days of art, Michelangelo was the furnishing upholsterer.","वह ज्यादातर कड़वी तलाक को देता है जो सजावटी कला के बीच बनाया गया है और हम आमतौर पर चित्र कहते हैं। अंतिम निर्णय के लिए प्रथागत अपील करता है और हमें याद दिलाता है कि कला के महान दिनों में, माइकल एंजेलो असबाबवाला था।",0.2312,0.1210,21.2566,21.6088
15,174-168635-0005,"Cozette, on her side, had also unknown to herself become another being. Poor little thing.","Cozette, उसके पक्ष में, खुद के लिए भी अज्ञात था। छोटी बात।",0.0713,0.0583,6.7571,6.8867
16,3170-137482-0032,I will bade implicitly and met your Excellency.,मैं गलती से बुरा हूँ और अपने एक्सेलेंसी से मिल जाएगा।,0.0519,0.0482,7.1220,7.2220
17,1993-147149-0021,He remained upstairs until after the early dawn showed Mary that she need have no fear of going home through the deserted and quiet streets to try and get a little sleep before work hour.,वह जब तक कि शुरुआती सुबह के बाद मरियम से पता चला कि उसे रेगिस्तानी और शांत सड़कों के माध्यम से घर जाने का डर नहीं है ताकि वे काम के घंटे से पहले थोड़ी नींद लें।,0.1173,0.1209,13.5398,13.7779
18,5694-64038-0011,But how to get him out was the unsolved problem.,लेकिन उसे कैसे बाहर निकलना असंभव समस्या थी।,0.0476,0.0432,6.3834,6.4742
19,7976-110124-0007,"He is old as well as poor, she said.",उन्होंने कहा कि वह पुराने और गरीब भी हैं।,0.0496,0.0369,6.3436,6.4302
20,6313-76958-0029,"Pong, tell the young gentleman what would become a view if you were to serve bad meals to this output of cow punchers.","पोंग, युवा सज्जन को बताते हैं कि अगर आप गाय पंचर के इस उत्पादन के लिए बुरा भोजन करने के लिए थे तो क्या विचार होगा।",0.1072,0.1014,10.2630,10.4717
MEAN,,,,0.1097,0.0895,10.7148,10.9140
STD,,,,0.0705,0.0583,4.8395,4.9471
