model,clip,ground_truth,hypothesis,wer,latency_s
tiny.en,5895-34622-0012,the curiosity of one place exhausted they passed on to another,"The curiosity of one place exhausted, they passed on to another.",0.0000,0.2926
tiny.en,5536-43359-0001,her attitude and secret meditations must be such as to instill into the receptive soul of the unborn child the love of the great mystery and a sense of brotherhood with all creation,"Her attitude and secret meditations must be such as to instill and to the receptive soul of the unborn child, the love of the great mystery and a sense of brotherhood with all creation.",0.0606,0.1470
tiny.en,1988-24833-0019,i look at my watch it's a quarter to eleven,I look at my watch. It's a quarter to eleven.,0.0000,0.0390
tiny.en,5694-64038-0024,a regiment was sent to the attack it was jim's regiment,A regiment was sent to the attack. It was Jim's regiment.,0.0000,0.0396
tiny.en,84-121550-0000,but with full ravishment the hours of prime singing received they in the midst of leaves that ever bore a burden to their rhymes,"But, with full ravishment the hours of prime, singing, received they in the midst of leaves that ever bore a burden to their rhymes.",0.0000,0.0670
tiny.en,251-137823-0001,inside a secret rocket telemetering device was mounted on its test stand,"Inside, a secret rocket telemetering device was mounted on its test stand.",0.0000,0.0601
tiny.en,3081-166546-0030,their greeting was cordial and the lines on the latter's face relaxed a little as he met the still bright eye of the man upon whose instinct and judgment so much reliance had always been placed,"Their greeting was cordial, and the lines on the latter's face relaxed a little, as he met the still bright eye of the man upon whose instinct and judgment so much reliance had always been placed.",0.0000,0.1483
tiny.en,1272-141231-0018,a red haired mountain of a man with an apparently inexhaustible store of energy,A red-haired mountain of a man with an apparently inexhaustible store of energy.,0.1429,0.0921
tiny.en,84-121550-0033,confusion and dismay together mingled forced such a yes from out my mouth that sight was needful to the understanding of it,Confusion and dismayed a gather mingled forced such a yes from out my mouth that sight was is needful to the understanding of it.,0.1818,0.1170
tiny.en,5536-43358-0003,none might exhort or confess or in any way meddle with the religious experience of another,None might exhort or confess or in any way metal with the religious experience of another.,0.0625,0.0436
tiny.en,2412-153954-0021,we passed many cases and at last came to one in which there were several clocks and two or three old watches,We passed many cases and at last came to one in which there were several clocks in two or three old watches.,0.0455,0.0518
tiny.en,6241-66616-0021,we shall make more money up here this winter than you could earn in detroit in three years,We shall make more money up here this winter than you could earn in Detroit in three years.,0.0000,0.0457
tiny.en,5338-24640-0009,since that time their numbers have gradually diminished but a good many are still to be found in the western counties and several with a better temper than in seventeen o seven have now taken arms for government,"Since that time, their numbers have gradually diminished, but a good many are still to be found in the western counties and several with a better temper than in 1707 have now taken arms for government.",0.0789,0.0843
tiny.en,652-129742-0010,stir the soaked gelatin in while the cucumber is hot,Stir the soaked gelatin in while the cucumber is hot.,0.0000,0.0570
tiny.en,3170-137482-0039,they believed that through me they possessed the philosopher's stone the universal panacea the intercourse with all the elementary heavenly and infernal spirits they had no doubt whatever that thanks to my sublime science they could find out the secrets of every government in europe,"They believe that through me they possessed the Philosopher's Stone, the Universal Panacea, the intercourse with all the elementary, heavenly, and infernal spirits. And they had no doubt whatever that thanks to my sublime science, they could find out the secrets of every government in Europe.",0.0444,0.2532
tiny.en,6295-244435-0019,harry gave his farewells with deep and genuine regret,Harry gave his farewells with deep and genuine regret.,0.0000,0.0336
tiny.en,1462-170142-0011,he pulled up a window as if the air were heavy,He pulled up a window as if the air were heavy.,0.0000,0.0362
tiny.en,8842-302203-0009,this lady's right name was joan but because of her comeliness or at least it was so imagined she was called of many primavera spring and went by that name among them,"This lady's right name was Joan, but because of her comeliness, or at least it was so imagined, she was called of many, but imma vera, spring, and went by that name among them.",0.0938,0.0986
tiny.en,3081-166546-0075,yes many times,"Yes, many times.",0.0000,0.0353
tiny.en,1462-170142-0000,the last two days of the voyage bartley found almost intolerable,"The last two days of the voyage, Bartley found almost intolerable.",0.0000,0.0393
tiny.en,3853-163249-0029,we can't afford no nice vittles now when our men are sufferin so,"We can't afford no nice fiddles now when our men are suffering, so...",0.1538,0.0432
tiny.en,3536-23268-0020,miss woodley did not recollect herself so but was so in reality in her peace and charity were instinctive virtues accident could not increase them,"Miss Woodley did not recollect herself so, but was so in reality. In her, peace and charity were instinctive virtues. Accident could not increase them.",0.0000,0.1054
