trial,clip,transcript,translation,asr_time_s,mt_time_s,tts_time_s,total_e2e_s
1,1919-142785-0027,"Beat the yolks of the other two eggs, add them with a little flour and salt to those pounded. Mix all well together and roll into balls.","दूसरे दो अंडे की जर्दी को मारो, उन्हें थोड़ा सा आटा और उन पाउंड में नमक डालो। सभी को अच्छी तरह से मिलाएं और गेंदों में रोल करें।",0.4117,0.7214,0.8015,1.9346
2,6295-244435-0007,All the amenities were preserved between the captured garrison and their captors. //,सभी सुविधाओं को पकड़े गए गैरीसन और उनके कैप्टरों के बीच संरक्षित किया गया था। //,0.0642,0.0621,0.1403,0.2666
3,1272-135031-0014,Where is that?,यह कहाँ है?,0.0593,0.0197,0.1511,0.2301
4,7976-105575-0002,Our brigade was fearfully outnumbered.,हमारे ब्रिगेड भयभीत थे।,0.0735,0.0486,0.0533,0.1754
5,5895-34615-0017,"Besides this face, those who had brought him up had given him the resources of a gymnast and an athlete.","इस चेहरे के अलावा, जिन्होंने उसे ऊपर लाया था उन्हें जिमनास्ट और एथलीट का संसाधन दिया था।",0.1530,0.0649,0.0817,0.2996
6,6319-64726-0008,"The young prince at these words, felt himself on fire.",इन शब्दों में युवा राजकुमार ने खुद को आग पर महसूस किया।,0.0840,0.0397,0.0775,0.2012
7,3000-15664-0012,"Then the shining of the wet leaves is delightful, and the steamy fragrance and the burst of birdsong from a multitude of thrushes and finches and warblers that have nests in the chaperral.","फिर गीले पत्तियों की चमक रमणीय है, और भापदार सुगंध और पक्षियों के फटने से थ्रश और फिन्च और वारब्लर्स की एक भीड़ होती है, जिसमें चेपराल में घोंसला होता है।",0.2370,0.1376,0.1216,0.4962
8,8842-302201-0008,So to the road thou shalt be reconciled and find the lady and with the lady love,तो सड़क के लिए तू फिर से संगत हो जाएगा और महिला और महिला प्यार के साथ मिल जाएगा,0.0614,0.0556,0.0696,0.1866
9,5694-64029-0020,We were not twenty yards off from the Yankees and they were pouring the hot shot and shells right into our ranks and every man was yelling at the top of his voice Sees firing you are firing on your own men. Sees firing you are firing on your own men,हम यानके से बीस गज नहीं थे और वे हमारे रैंकों में गर्म शॉट और गोले डाल रहे थे और हर आदमी अपनी आवाज़ के शीर्ष पर चिल्ला रहा था यह देखकर कि आप अपने खुद के पुरुषों पर फायर कर रहे हैं। यह देखकर कि आप अपने खुद के पुरुषों पर फायर कर रहे हैं,0.1808,0.1157,0.1787,0.4752
10,2412-153947-0001,This is a mistake though a perfectly natural one.,हालांकि यह पूरी तरह से प्राकृतिक है।,0.0880,0.0349,0.0755,0.1985
11,1919-142785-0052,"illustration, pestil and mortar.","चित्रण, पेस्टिल और मोर्टार।",0.0659,0.0268,0.0517,0.1443
12,1673-143397-0006,"which oppressed the metropolitan of Europe and Asia, invaded the provinces of Antioch and Alexandria, and measured their diocese by the limits of the empire.","जिसने यूरोप और एशिया के महानगर को दबाया, ने एंटीच और अलेक्जेंड्रिया के प्रांतों पर हमला किया, और साम्राज्य की सीमा से उनके डायोकेस को मापा।",0.1087,0.1125,0.1036,0.3247
13,3853-163249-0039,They knew what it was without a word. Mrs. Sterling clasped her hands and bowed her head.,वे जानते थे कि यह एक शब्द के बिना क्या था। श्रीमती स्टर्लिंग ने अपने हाथों को पकड़ लिया और उसके सिर को झुका दिया।,0.0941,0.0516,0.0886,0.2344
14,7850-286674-0008,Our upper lips are so small they don't matter.,हमारे ऊपरी होंठ इतने छोटे हैं कि वे कोई फर्क नहीं पड़ता।,0.0484,0.0453,0.0947,0.1883
15,3081-166546-0056,Who came next on the scene? Some people from the lobby...,कौन आगे आया? लॉबी से कुछ लोग...,0.1241,0.0291,0.0877,0.2409
16,3752-4944-0052,"North knew well that he would never dare to attempt any such act of violence, but the insult stung him like the cut of a whip.","उत्तर को अच्छी तरह से पता था कि वह कभी हिंसा के किसी भी तरह के कार्य का प्रयास नहीं करेगा, लेकिन अपमान ने उसे एक मार गिराया।",0.1355,0.1180,0.1080,0.3615
17,84-121550-0001,All waters that on earth most limpid are would seem to have within themselves some mixture compared with that which nothing does conceal,"सभी पानी जो पृथ्वी पर सबसे अधिक लिम्पिड हैं, उनमें से कुछ मिश्रणों के भीतर दिखाई देंगे, जिनकी तुलना में कुछ भी छिपा नहीं है।",0.1205,0.1018,0.1222,0.3445
18,1988-147956-0004,"Presently, against one of those banks, I saw a sort of shed, thatched with the same wine-colored grass that grew everywhere.","वर्तमान में, उन बैंकों में से एक के खिलाफ, मैंने एक तरह का शेड देखा, जो उसी शराब के रंग की घास के साथ हर जगह बढ़ी।",0.1584,0.1021,0.1067,0.3671
19,8842-302201-0006,"Whatever her sweet eyes are turned upon, spirits of love do issue thence in flame, which, through their eyes, who then may look on them, pierce to the hard, steep chamber, everyone.","जो कुछ भी उसकी मीठी आंखें चालू हो जाती हैं, प्यार की भावनाएं लौ में जारी होती हैं, जो उनकी आंखों के माध्यम से, जो तब उन्हें देख सकती हैं, कड़ी मेहनत, खड़ी कक्ष, हर किसी को छेद देती हैं।",0.1697,0.1496,0.1226,0.4419
20,2803-154328-0011,The jailer may forget that he is on guard. The prisoner never forgets that he is guarded.,जेलर भूल सकता है कि वह गार्ड पर है। कैदी कभी नहीं भूलता कि वह संरक्षित है।,0.0862,0.0482,0.0738,0.2082
MEAN,,,,0.1262,0.1043,0.1355,0.3660
STD,,,,0.0811,0.1467,0.1560,0.3737
